Upstream Release Old River Route To Ocean via OR,Upstream Release Old River Route To Ocean via Pumps,Upstream Release Mainstem Route To Ocean 
Upper Rel ,Upper Rel ,Upper Rel 
Blw Rel,Blw Rel,Blw Rel
MSC,MSC,MSC
Blw NM,Blw NM,Blw NM
Hills,Hills,Hills
Crows,Crows,Crows
Grayson,Grayson,Grayson
DF Rel Rec,DF Rel Rec,DF Rel Rec
DF,DF,DF
BCA,BCA,BCA
Moss,Moss,Moss
HOR Junc,HOR Junc,HOR Junc
OR HOR,OR HOR,SJ HOR
Pumps,Pumps,Howard
OR Hwy,Chipps,SJG
Chipps,Benicia,MAC
Benicia,GG,JP
GG,,Chipps
,,Benicia
,,GG
