Estimate,s.e.
sA1,0.749873703157,0
sA2,0.696792558907,0
sA3,0.77237890843,0
sA4,0.567842745267,0
sA5,0.638570034403,0
sA6,0.655105773135,0
sA8,0.749521408464,0
sA9,0.681705342207,0
sA10,0.671152428903,0
sA11,0.660948180419,0
sA12,0.656319875005,0
sA13,0.797003640429,0
sA14,0.723966635747,0
sA15,0.602289630909,0
sA16,0.378656794877,0
sA17,0.806421027316,0
sA19,0.865593160867,0
phiB1B2,0.259730748787,0
phiB1C1,0.0299889144874,0
phiB1D1,0.273939277638,0
phiB1E1,0.32003763226,0
psiA1,0.538817924884,0
psiA2,0.638047569622,0
sE1,0.65306839023,0
sE2,0.114848670318,0
sF1,0.242939920486,0
pA1,0.733171961705,0
pA2,0.231992414043,0
pA3,0.850948398277,0
pA4,0.643773740951,0
pA6,0.728066803066,0
pA8,0.584429500353,0
pA9,0.575486145371,0
pA10,0.498964865771,0
pA12,0.626709588365,0
pA15b,0.601259652998,0
pA16a,0.985167419068,0
pA16b,0.985167419068,0
pA17b,0.867239920245,0
pA18a,1.99999996424,0
pA18b,1.99999996424,0
pA19a,0.722046344419,0
pA19b,0.930160989391,0
pB1a,0.460364092451,0
pB1b,0.642534126778,0
pB2,1.15912928117,0
pC1a,0.646004305853,0
pC1b,0.646004305853,0
pD1,0.683281637195,0
pE1a,0.616358259224,0
pE1b,0.852913805146,0
pE2,1.23116824648,0
pF1,-0.85471289199,0
