Reach,param,estimate,SE,cum_estimate
Rel,R1,1,0,1
R1,sA1,0.988472622,0.005730372,0.988472622
R2,sA2,0.774715081,0.046917515,0.765784648
R3,sA3,0.911734519,0.052437099,0.698192297
R4,sA4,0.859816658,0.024410833,0.600317367
R5,sA5,0.763285024,0.029544129,0.458213256
R6,sA6,0.893644982,0.024525795,0.409479977
R7,sA7*,1.026728012,0.014683107,0.420424563
R8,sA8*,0.913904806,0.019593084,0.384228029
R9,sA9*,0.9300527,0.014271531,0.357352316
R10,sA10*,0.951847934,0.014311918,0.340145063
R11,sA11*,0.976041353,0.00971828,0.331995648
R12,sA12,0.971156984,0.014881136,0.322419892
R13,sA13,0.933659018,0.017778779,0.30103024
R14,sA14,0.969230769,0.012366722,0.291767771
R15,sA15,0.516819836,0.036773645,0.150791372
R16,sA16,0.477755619,0.053409502,0.072041425
R17,sA17,0.75,0.068465163,0.054031069
