,FirstRec,SecondRec,totals
1,REL,A7,190
2,REL,A8,136
3,REL,A9,14
4,REL,A10,3
5,REL,A11,2
6,REL,B1,0
7,REL,A12,0
8,REL,A13,0
9,REL,A14,0
10,REL,A15,0
11,REL,A16,0
12,REL,A17,0
13,REL,x,9
14,A7,A8,147
15,A7,A9,12
16,A7,A10,4
17,A7,A11,3
18,A7,B1,0
19,A7,A12,0
20,A7,A13,0
21,A7,A14,0
22,A7,A15,0
23,A7,A16,0
24,A7,A17,1
25,A7,x,23
26,A8,A9,178
27,A8,A10,38
28,A8,A11,32
29,A8,B1,0
30,A8,A12,0
31,A8,A13,0
32,A8,A14,0
33,A8,A15,0
34,A8,A16,0
35,A8,A17,0
36,A8,x,35
37,A9,A10,119
38,A9,A11,69
39,A9,B1,0
40,A9,A12,0
41,A9,A13,0
42,A9,A14,0
43,A9,A15,0
44,A9,A16,0
45,A9,A17,0
46,A9,x,16
47,A10,A11,157
48,A10,B1,1
49,A10,A12,0
50,A10,A13,0
51,A10,A14,0
52,A10,A15,0
53,A10,A16,0
54,A10,A17,0
55,A10,x,6
56,A11,B1,120
57,A11,A12,123
58,A11,A13,6
59,A11,A14,0
60,A11,A15,0
61,A11,A16,0
62,A11,A17,0
63,A11,x,14
64,B1,A12,0
65,B1,A13,0
66,B1,A14,0
67,B1,A15,0
68,B1,A16,0
69,B1,A17,5
70,B1,x,116
71,A12,A13,111
72,A12,A14,0
73,A12,A15,0
74,A12,A16,0
75,A12,A17,0
76,A12,x,12
77,A13,A14,113
78,A13,A15,0
79,A13,A16,0
80,A13,A17,0
81,A13,x,4
82,A14,A15,53
83,A14,A16,0
84,A14,A17,0
85,A14,x,60
86,A15,A16,20
87,A15,A17,3
88,A15,x,30
89,A16,A17,13
90,A16,x,7
91,A17,x,22
,,,204
,,,263
