"","FirstRec","SecondRec","totals"
"1","REL","A1","343"
"2","REL","A2","0"
"3","REL","A3","0"
"4","REL","A4","0"
"5","REL","A5","0"
"6","REL","A6","0"
"7","REL","A7","0"
"8","REL","A8","0"
"9","REL","A9","0"
"10","REL","A10","0"
"11","REL","A11","0"
"12","REL","B1","0"
"13","REL","A12","0"
"14","REL","A13","0"
"15","REL","A14","0"
"16","REL","A15","0"
"17","REL","A17","0"
"18","REL","x","4"
"19","A1","A2","37"
"20","A1","A3","177"
"21","A1","A4","26"
"22","A1","A5","1"
"23","A1","A6","0"
"24","A1","A7","0"
"25","A1","A8","0"
"26","A1","A9","0"
"27","A1","A10","0"
"28","A1","A11","0"
"29","A1","B1","0"
"30","A1","A12","0"
"31","A1","A13","0"
"32","A1","A14","0"
"33","A1","A15","0"
"34","A1","A17","0"
"35","A1","x","102"
"36","A2","A3","28"
"37","A2","A4","5"
"38","A2","A5","0"
"39","A2","A6","0"
"40","A2","A7","0"
"41","A2","A8","0"
"42","A2","A9","0"
"43","A2","A10","0"
"44","A2","A11","0"
"45","A2","B1","0"
"46","A2","A12","0"
"47","A2","A13","0"
"48","A2","A14","0"
"49","A2","A15","0"
"50","A2","A17","0"
"51","A2","x","4"
"52","A3","A4","176"
"53","A3","A5","0"
"54","A3","A6","0"
"55","A3","A7","0"
"56","A3","A8","0"
"57","A3","A9","0"
"58","A3","A10","0"
"59","A3","A11","0"
"60","A3","B1","0"
"61","A3","A12","0"
"62","A3","A13","0"
"63","A3","A14","0"
"64","A3","A15","0"
"65","A3","A17","0"
"66","A3","x","29"
"67","A4","A5","158"
"68","A4","A6","0"
"69","A4","A7","0"
"70","A4","A8","0"
"71","A4","A9","0"
"72","A4","A10","0"
"73","A4","A11","0"
"74","A4","B1","0"
"75","A4","A12","0"
"76","A4","A13","0"
"77","A4","A14","0"
"78","A4","A15","0"
"79","A4","A17","0"
"80","A4","x","49"
"81","A5","A6","140"
"82","A5","A7","1"
"83","A5","A8","1"
"84","A5","A9","0"
"85","A5","A10","0"
"86","A5","A11","0"
"87","A5","B1","0"
"88","A5","A12","0"
"89","A5","A13","0"
"90","A5","A14","0"
"91","A5","A15","0"
"92","A5","A17","0"
"93","A5","x","17"
"94","A6","A7","32"
"95","A6","A8","73"
"96","A6","A9","17"
"97","A6","A10","7"
"98","A6","A11","5"
"99","A6","B1","0"
"100","A6","A12","0"
"101","A6","A13","0"
"102","A6","A14","0"
"103","A6","A15","0"
"104","A6","A17","0"
"105","A6","x","6"
"106","A7","A8","26"
"107","A7","A9","4"
"108","A7","A10","0"
"109","A7","A11","2"
"110","A7","B1","0"
"111","A7","A12","0"
"112","A7","A13","0"
"113","A7","A14","0"
"114","A7","A15","0"
"115","A7","A17","0"
"116","A7","x","1"
"117","A8","A9","73"
"118","A8","A10","14"
"119","A8","A11","13"
"120","A8","B1","0"
"121","A8","A12","0"
"122","A8","A13","0"
"123","A8","A14","0"
"124","A8","A15","0"
"125","A8","A17","0"
"126","A8","x","0"
"127","A9","A10","46"
"128","A9","A11","47"
"129","A9","B1","0"
"130","A9","A12","0"
"131","A9","A13","0"
"132","A9","A14","0"
"133","A9","A15","0"
"134","A9","A17","0"
"135","A9","x","1"
"136","A10","A11","67"
"137","A10","B1","0"
"138","A10","A12","0"
"139","A10","A13","0"
"140","A10","A14","0"
"141","A10","A15","0"
"142","A10","A17","0"
"143","A10","x","0"
"144","A11","B1","47"
"145","A11","A12","73"
"146","A11","A13","6"
"147","A11","A14","0"
"148","A11","A15","0"
"149","A11","A17","0"
"150","A11","x","8"
"151","B1","A12","0"
"152","B1","A13","0"
"153","B1","A14","0"
"154","B1","A15","0"
"155","B1","A17","1"
"156","B1","x","46"
"157","A12","A13","72"
"158","A12","A14","0"
"159","A12","A15","0"
"160","A12","A17","0"
"161","A12","x","1"
"162","A13","A14","76"
"163","A13","A15","0"
"164","A13","A17","0"
"165","A13","x","2"
"166","A14","A15","47"
"167","A14","A17","0"
"168","A14","x","29"
"169","A15","A17","20"
"170","A15","x","27"
"171","A17","x","21"
